Title,First Director Name,First Director Gender,First Director Age When the Film Was Released,Second Director Name,Second Director Gender,Second Director Age When the Film Was Released,First Writer Name,First Writer Gender,First Writer Age When the Film Was Released,Second Writer Name,Second Writer Gender,Second Writer Age When the Film Was Released,Third Writer Name,Third Writer Gender,Third Writer Age When the Film Was Released,Fourth Writer Name,Fourth Writer Gender,Fourth Writer Age When the Film Was Released,Fifth Writer Name,Fifth Writer Gender,FIfth Writer Age When the Film Was Released,Sixth Writer Name,Sixth Writer Gender,Sixth Writer Age When Film Was Released
10 Cloverfield Lane,Dan Trachtenberg,Male,34,,,,Josh Campbell,Male,?,Matthew Stuecken,Male,?,Damien Chazelle,Male,31,,,,,,,,,
Arrival,Denis Villeneuve,Male,49,,,,Eric Heisserer,Male,46,Ted Chiang,Male,?,,,,,,,,,,,,
Batman v Superman: Dawn of Justice,Zack Snyder,Male,50,,,,Chris Terrio,Male,39,David S. Goyer,Male,50,Bob Kane,Male,?,,,,,,,,,
Busanhaeng (Train to Busan),Yeon Sang-ho,Male,37,,,,Sang-ho Yeon,Male,?,,,,,,,,,,,,,,,
Captain America: Civil War,Anthony Russo,Male,46,Joe Russo,Male,45,Christopher Markus,Male,46,Stephen McFeely,Male,46,,,,,,,,,,,,
Deadpool,Tim Miller,Male,51,,,,Rhett Reese,Male,48,Paul Wernick,Male,43,43,,,,,,,,,,,
Doctor Strange,Scott Derrickson,Male,50,,,,Scott Derrickson,Male,50,C. Robert Cargill,Male,?,Steve Ditko,Male,89,,,,,,,,,
Don't Breathe,Fede Álvarez,Male,38,,,,Fede Álvarez,Male,38,Rodo Sayagues,Male,?,,,,,,,,,,,,
Finding Dory,"Andrew Stanton, Angus MacLane",Male,50,Angus MacLane,Male,41,Andrew Stanton,Male,50,Victoria Strouse,Female,?,Bob Peterson,Male,?,,,,,,,,,
Ghostbusters,Paul Feig,Male,53,,,,Katie Dippold,Female,38,Paul Feig,Male,53,,,,,,,,,,,,
Hell or High Water,David Mackenzie,Male,50,,,,Taylor Sherida,Male,46,,,,,,,,,,,,,,,
Jason Bourne,Paul Greengrass,Male,60,,,,Paul Greengrass,Male,60,Christopher Rouse,Male,55,,,,,,,,,,,,
Kimi no na wa (Your Name),Makoto Shinkai,Male,43,,,,Makoto Shinkai,Male,43,,,,,,,,,,,,,,,
La La Land,Damien Chazelle,Male,31,,,,Damien Chazelle,Male,31,,,,,,,,,,,,,,,
