Title,Theatrical Distributor,Category
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Amazon Studios,Streamer
Soorarai Pottru,Amazon Studios,Streamer
The Tomorrow War,Amazon Studios,Streamer
CODA,Apple TV,Streamer
Glass Onion,Netflix,Streamer
Bird Box,Netflix,Streamer
6 Underground,Netflix,Streamer
El Camino: A Breaking Bad Movie,Netflix,Streamer
El Hoyo (The Platform),Netflix,Streamer
Marriage Story,Netflix,Streamer
Eurovision Song Contest: The Story of Fire Saga,Netflix,Streamer
Extraction,Netflix,Streamer
I Care a Lot,Netflix,Streamer
Project Power,Netflix,Streamer
The Old Guard,Netflix,Streamer
Army of the Dead,Netflix,Streamer
Don't Look Up,Netflix,Streamer
Red Notice,Netflix,Streamer
The Guilty,Netflix,Streamer
The Mitchells vs. the Machines,Netflix,Streamer
The Unforgivable,Netflix,Streamer
Hustle,Netflix,Streamer
The Adam Project,Netflix,Streamer
The Gray Man,Netflix,Streamer
Ex Machina,A24,US Indie
Moonlight,A24,US Indie
Hereditary,A24,US Indie
Uncut Gems,A24,US Indie
Midsommar,A24,US Indie
Everything Everywhere All at Once,A24,US Indie
The Whale,A24,US Indie
Room,A24,US Indie
The Lobster,A24,US Indie
The Killing of a Sacred Deer,A24,US Indie
Logan Lucky,Bleecker Street,US Indie
Olympus Has Fallen,FilmDistrict,US Indie
Gisaengchung (Parasite),Neon,US Indie
Triangle of Sadness,Neon,US Indie
Palm Springs,Neon,US Indie
Nightcrawler,Open Road,US Indie
Don Jon,Relativity,US Indie
Manchester by the Sea,Roadside Attractions,US Indie
Druk (Another Round),Samuel Goldwyn Films,US Indie
The Gift,STX Entertainment,US Indie
Molly's Game,STX Entertainment,US Indie
The Gentlemen,STX Entertainment,US Indie
Greenland,STX Entertainment,US Indie
Southpaw,Weinstein Co.,US Indie
Lion,Weinstein Co.,US Indie
Wind River,Weinstein Co.,US Indie
Snowpiercer,Weinstein Co.,US Indie
It Follows,Weinstein Co.,US Indie
